key,type,id,value
source,regular,100232056,IBGE
created_by,regular,100232095,JOSM
created_by,regular,100233682,JOSM
created_by,regular,100235534,JOSM
source,regular,100245412,IBGE
highway,regular,324823669,speed_camera
maxspeed,regular,324823669,50
highway,regular,324823741,speed_camera
maxspeed,regular,324823741,80
highway,regular,324823799,speed_camera
maxspeed,regular,324823799,80
highway,regular,324825062,speed_camera
maxspeed,regular,324825062,80
highway,regular,324825099,speed_camera
maxspeed,regular,324825099,80
amenity,regular,324829157,fuel
highway,regular,324829260,traffic_signals
traffic_signals,regular,324829260,signal
crossing,regular,337597720,uncontrolled
highway,regular,337597720,crossing
highway,regular,337597737,speed_camera
maxspeed,regular,337597737,50
source,regular,352697384,IBGE
source,regular,352697390,IBGE
source,regular,352697393,IBGE
source,regular,352697400,IBGE
source,regular,352697587,IBGE
source,regular,352697588,IBGE
source,regular,352697591,IBGE
source,regular,352697592,IBGE
source,regular,352697593,IBGE
source,regular,352697594,IBGE
source,regular,352712408,IBGE
source,regular,352712415,IBGE
source,regular,352712421,IBGE
source,regular,352712428,IBGE
source,regular,352712431,IBGE
source,regular,352712433,IBGE
source,regular,352712436,IBGE
source,regular,352712439,IBGE
source,regular,352712444,IBGE
source,regular,352743282,IBGE
source,regular,352743283,IBGE
source,regular,352743862,IBGE
source,regular,352745007,IBGE
source,regular,352745008,IBGE
source,regular,352745009,IBGE
source,regular,352745010,IBGE
source,regular,352745011,IBGE
source,regular,352745012,IBGE
source,regular,352745013,IBGE
source,regular,352745037,IBGE
source,regular,352745038,IBGE
source,regular,352745045,IBGE
source,regular,352745046,IBGE
source,regular,352745048,IBGE
source,regular,352747127,IBGE
source,regular,352747128,IBGE
source,regular,352747129,IBGE
source,regular,352747130,IBGE
source,regular,352747131,IBGE
source,regular,352747132,IBGE
source,regular,353030855,IBGE
source,regular,353030858,IBGE
source,regular,353030861,IBGE
source,regular,353030862,IBGE
source,regular,353030863,IBGE
source,regular,353030864,IBGE
source,regular,353030866,IBGE
source,regular,353031002,IBGE
source,regular,353032449,IBGE
source,regular,353032454,IBGE
GEOCODIGO,IBGE,415521244,251200205
name,regular,415521244,Pocinhos
place,regular,415521244,town
population,regular,415521244,16397
source,regular,415521244,IBGE
wikidata,regular,415521244,Q1816070
GEOCODIGO,IBGE,415521266,250435505
name,regular,415521266,Caturité
place,regular,415521266,village
population,regular,415521266,4591
source,regular,415521266,IBGE
GEOCODIGO,IBGE,415521331,251120205
name,regular,415521331,Pedras de Fogo
place,regular,415521331,town
population,regular,415521331,27021
source,regular,415521331,IBGE
wikidata,regular,415521331,Q2009248
GEOCODIGO,IBGE,415521334,250060105
name,regular,415521334,Alhandra
place,regular,415521334,town
population,regular,415521334,18674
source,regular,415521334,IBGE
wikidata,regular,415521334,Q385529
GEOCODIGO,IBGE,415521337,250760605
name,regular,415521337,Juarez Távora
place,regular,415521337,village
population,regular,415521337,7829
source,regular,415521337,IBGE
GEOCODIGO,IBGE,415521338,250680605
name,regular,415521338,Ingá
place,regular,415521338,town
population,regular,415521338,18677
source,regular,415521338,IBGE
wikidata,regular,415521338,Q929040
GEOCODIGO,IBGE,415521340,250940405
name,regular,415521340,Mogeiro
place,regular,415521340,town
population,regular,415521340,12664
source,regular,415521340,IBGE
GEOCODIGO,IBGE,415521352,251240805
name,regular,415521352,Puxinanã
place,regular,415521352,town
population,regular,415521352,13236
source,regular,415521352,IBGE
GEOCODIGO,IBGE,415521353,251250705
name,regular,415521353,Queimadas
place,regular,415521353,town
population,regular,415521353,39956
source,regular,415521353,IBGE
wikidata,regular,415521353,Q782948
GEOCODIGO,IBGE,415521354,250610305
name,regular,415521354,Fagundes
place,regular,415521354,town
population,regular,415521354,12166
source,regular,415521354,IBGE
GEOCODIGO,IBGE,415521355,250950305
name,regular,415521355,Montadas
place,regular,415521355,village
population,regular,415521355,4681
source,regular,415521355,IBGE
GEOCODIGO,IBGE,415521356,250920605
name,regular,415521356,Massaranduba
place,regular,415521356,town
population,regular,415521356,12840
source,regular,415521356,IBGE
GEOCODIGO,IBGE,415521357,250400905
flag,regular,415521357,http://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_campina_grande.svg
loc_name,regular,415521357,Campina
name,regular,415521357,Campina Grande
bg,name,415521357,Кампина Гранди
eo,name,415521357,Kampinagrando
ja,name,415521357,カンピナグランデ
ka,name,415521357,კამპინა-გრანდე
kk,name,415521357,Кампина-Гранди
ko,name,415521357,캄피나그란지
lt,name,415521357,Kampina Grandė
pt,name,415521357,Campina Grande
ru,name,415521357,Кампина-Гранди
sr,name,415521357,Кампина Гранде
zh,name,415521357,大坎皮納
place,regular,415521357,city
population,regular,415521357,400002
source,regular,415521357,IBGE
website,regular,415521357,http://www.campinagrande.pb.gov.br/
wikidata,regular,415521357,Q193016
wikipedia,regular,415521357,pt:Campina Grande
GEOCODIGO,IBGE,415521358,250830705
