id,user,uid,version,changeset,timestamp
11285756,tarta,962387,13,23249795,2014-06-28T17:09:39Z
11286067,lmpinto,7396,2,603937,2008-01-11T17:02:11Z
29472624,dhiegov,8701980,37,61758472,2018-08-17T21:47:40Z
29472952,patodiez,1856060,8,34951268,2015-10-29T15:04:57Z
29472953,Matias_Daniel,7142955,13,55521918,2018-01-17T13:32:32Z
29472954,patodiez,1856060,8,48066302,2017-04-23T17:07:07Z
29472955,wfwaltersilva,7432566,9,56193324,2018-02-08T18:48:43Z
29472956,Matias_Daniel,7142955,18,56340368,2018-02-14T03:06:33Z
29472957,patodiez,1856060,7,48068112,2017-04-23T18:23:46Z
29472958,erickdeoliveiraleal,463504,8,55034448,2017-12-30T13:30:08Z
29472959,patodiez,1856060,9,48068112,2017-04-23T18:23:46Z
29472960,Matias_Daniel,7142955,23,56235013,2018-02-10T07:33:59Z
29472962,Editor de GPS,2095745,7,28448273,2015-01-27T18:34:42Z
29472963,Matias_Daniel,7142955,17,55523594,2018-01-17T14:44:15Z
29472964,Nick Mack,1790003,6,18627877,2013-10-31T02:16:16Z
29472966,Matias_Daniel,7142955,10,55523594,2018-01-17T14:44:14Z
29472967,Gabriel Bezerra,1734614,7,17687819,2013-09-05T13:48:05Z
29472968,Editor de GPS,2095745,12,40159558,2016-06-20T15:22:51Z
29472969,UsuárioPar,367813,18,56935429,2018-03-06T13:17:20Z
29472970,LucFreitas,2173970,16,44660638,2016-12-25T12:18:23Z
29472971,UsuárioPar,367813,9,53457383,2017-11-02T17:02:16Z
29472972,UsuárioPar,367813,8,56935429,2018-03-06T13:17:20Z
29472973,patodiez,1856060,11,48069080,2017-04-23T19:01:03Z
29472974,erickdeoliveiraleal,463504,10,61874698,2018-08-22T03:06:39Z
29472975,erickdeoliveiraleal,463504,8,50350839,2017-07-17T13:30:09Z
29472976,Matias_Daniel,7142955,8,55524280,2018-01-17T15:06:14Z
29472977,patodiez,1856060,17,34952869,2015-10-29T16:19:44Z
29472978,Matias_Daniel,7142955,6,56235013,2018-02-10T07:34:00Z
29472979,Editor de GPS,2095745,9,28512136,2015-01-30T20:14:11Z
29472980,LucFreitas,2173970,13,55293687,2018-01-09T13:48:58Z
29472981,UsuárioPar,367813,14,56427522,2018-02-16T22:24:12Z
29472982,LucFreitas,2173970,11,44660638,2016-12-25T12:18:23Z
29472983,UsuárioPar,367813,11,56427522,2018-02-16T22:24:13Z
29473040,LucFreitas,2173970,6,44660638,2016-12-25T12:18:24Z
29473041,Lucas Medeiros,8828309,13,62930752,2018-09-26T00:38:41Z
29473042,Matias_Daniel,7142955,11,56235013,2018-02-10T07:33:59Z
29473044,erickdeoliveiraleal,463504,7,55034448,2017-12-30T13:30:08Z
29473045,jfelintonetto,7357230,7,54919872,2017-12-26T03:37:41Z
29473046,patodiez,1856060,6,48069080,2017-04-23T19:00:59Z
29473047,patodiez,1856060,4,48069891,2017-04-23T19:30:02Z
29473048,erickdeoliveiraleal,463504,3,21165977,2014-03-18T00:12:20Z
