id,key,value,type
11285756,natural,coastline,regular
11285756,source,IBGE,regular
11286067,converted_by,mikes,regular
11286067,created_by,coast_josml.pl,regular
11286067,natural,water,regular
11286067,source,PGS,regular
29472624,highway,primary,regular
29472624,lit,yes,regular
29472624,name,Avenida Prefeito Severino Cabral,regular
29472624,network,BR,regular
29472624,oneway,yes,regular
29472624,ref,BR-230,regular
29472624,source,Yahoo hires,regular
29472624,surface,asphalt,regular
29472952,highway,primary,regular
29472952,name,Avenida Marechal Floriano Peixoto,regular
29472952,oneway,yes,regular
29472953,highway,primary,regular
29472953,lit,yes,regular
29472953,name,Avenida Marechal Floriano Peixoto,regular
29472953,oneway,yes,regular
29472954,highway,primary,regular
29472954,junction,roundabout,regular
29472955,highway,primary,regular
29472955,junction,roundabout,regular
29472956,highway,primary,regular
29472956,lit,yes,regular
29472956,name,Avenida Marechal Floriano Peixoto,regular
29472956,oneway,yes,regular
29472957,highway,primary,regular
29472957,name,Avenida Marechal Floriano Peixoto,regular
29472957,oneway,yes,regular
29472958,highway,primary,regular
29472958,name,Avenida Marechal Floriano Peixoto,regular
29472958,oneway,yes,regular
29472959,highway,primary,regular
29472959,name,Avenida Marechal Floriano Peixoto,regular
29472959,oneway,yes,regular
29472960,highway,primary,regular
29472960,name,Avenida Assis Chateubriand,regular
29472962,highway,secondary_link,regular
29472962,name,Rua Paulo Frontin,regular
29472962,oneway,yes,regular
29472963,highway,primary,regular
29472963,lit,yes,regular
29472963,name,Avenida Dom Pedro II,regular
29472963,oneway,yes,regular
29472964,highway,residential,regular
29472964,name,Rua Siqueira Campos,regular
29472964,oneway,yes,regular
29472966,highway,primary,regular
29472966,lit,yes,regular
29472966,name,Rua Vereador Arrojado Lisboa,regular
29472967,highway,unclassified,regular
29472967,oneway,yes,regular
29472968,highway,primary,regular
29472968,lit,yes,regular
29472968,name,Avenida Marechal Floriano Peixoto,regular
29472968,oneway,yes,regular
29472969,highway,primary,regular
29472969,lanes,3,regular
29472969,psv,1,lanes
29472969,lit,yes,regular
29472969,name,Avenida Marechal Floriano Peixoto,regular
29472969,oneway,yes,regular
29472970,highway,secondary,regular
29472970,lit,yes,regular
29472970,name,Rua Doutor Severino Cruz,regular
29472970,oneway,yes,regular
29472971,highway,secondary,regular
29472971,lit,yes,regular
29472971,name,Rua Vila Nova da Rainha,regular
29472971,oneway,yes,regular
29472972,highway,secondary,regular
29472972,name,Rua Treze de Maio,regular
29472972,oneway,yes,regular
29472973,highway,residential,regular
29472973,name,Rua Espírito Santo,regular
29472973,oneway,no,regular
29472973,source,Bing,regular
29472974,highway,tertiary,regular
29472974,name,Rua Agrígio Pereira Nepomuceno,regular
29472974,oneway,yes,regular
29472975,highway,tertiary,regular
29472975,name,Rua Gasparino Barreto,regular
29472975,oneway,yes,regular
29472976,highway,residential,regular
29472976,name,Rua Santa Catarina,regular
29472976,oneway,no,regular
29472976,source,Bing,regular
29472977,highway,primary,regular
29472977,name,Avenida Almirante Barroso,regular
29472977,oneway,yes,regular
29472977,source,Bing,regular
29472978,highway,residential,regular
29472978,name,Rua Rio de Janeiro,regular
29472979,highway,secondary,regular
29472979,name,Rua Pedro Leal,regular
29472979,oneway,yes,regular
29472980,highway,primary,regular
29472980,junction,roundabout,regular
29472980,lanes,2,regular
29472980,lit,yes,regular
29472981,highway,secondary,regular
29472981,lanes,2,regular
29472981,lit,yes,regular
29472981,name,Rua Giló Guedes,regular
29472981,oneway,yes,regular
29472982,highway,primary,regular
29472982,junction,roundabout,regular
29472982,lit,yes,regular
29472983,highway,secondary,regular
29472983,lanes,2,regular
29472983,psv,1,lanes
29472983,lit,yes,regular
29472983,oneway,yes,regular
29472983,ref,BR-104,regular
29472983,surface,asphalt,regular
29473040,highway,secondary,regular
29473040,lit,yes,regular
29473040,oneway,yes,regular
29473041,highway,secondary,regular
29473041,lit,yes,regular
29473041,name,Rua Paulo Frontin,regular
29473041,oneway,yes,regular
29473042,highway,secondary,regular
29473042,name,Avenida Professor Almeida Barreto,regular
29473042,oneway,yes,regular
29473044,highway,primary,regular
29473044,junction,roundabout,regular
29473045,highway,primary,regular
29473045,name,Avenida Marechal Floriano Peixoto,regular
29473045,oneway,yes,regular
29473046,highway,primary,regular
29473046,name,Avenida Marechal Floriano Peixoto,regular
29473046,oneway,yes,regular
29473047,highway,service,regular
29473048,highway,service,regular
29473048,oneway,yes,regular
30554038,left:conditional,lane @ (Su 07:00-16:00),cycleway
30554038,highway,primary,regular
30554038,maxspeed,50,regular
30554038,name,Avenida Presidente Epitácio Pessoa,regular
30554038,oneway,yes,regular
30554038,source,Yahoo,regular
30554372,highway,tertiary,regular
30554372,name,Avenida Piauí,regular
30554372,oneway,yes,regular
30554497,highway,tertiary,regular
30554497,name,Rua Joaquim Pires,regular
30554497,oneway,yes,regular
30554638,highway,residential,regular
30554638,name,Avenida Rio Grande do Sul,regular
30554638,source,Yahoo,regular
30555619,highway,residential,regular
30555619,name,Rua Severino Cabral,regular
30555619,oneway,no,regular
30555619,source,Bing,regular
31513993,highway,tertiary,regular
31513993,source,IBGE,regular
31514074,highway,tertiary,regular
31514074,name,Estrada Para Nazaré,regular
31514074,ref,PB-141,regular
31514074,source,IBGE,regular
31518793,CD_ADMINIS,estadual,IBGE
31518793,highway,secondary,regular
31518793,oneway,no,regular
31518793,source,IBGE,regular
31519356,CD_ADMINIS,federal,IBGE
31519356,highway,motorway_link,regular
31519356,oneway,yes,regular
31519356,source,IBGE,regular
31519356,surface,asphalt,regular
31519389,highway,secondary,regular
31519389,lanes,2,regular
31519389,name,Rodovia Antônio Carneiro da Cunha Neto,regular
31519389,oneway,no,regular
31519389,ref,PB-004,regular
31519389,source,GPS,regular
31519389,surface,DNIT; Bing; survey,source
31519389,surface,asphalt,regular
31519619,CD_ADMINIS,federal,IBGE
31519619,highway,motorway,regular
31519619,lanes,2,regular
31519619,lit,yes,regular
31519619,maxspeed,100,regular
31519619,name,Avenida Santo Amaro,regular
31519619,oneway,yes,regular
31519619,ref,BR-101,regular
31519619,source,GPS,regular
31519619,surface,asphalt,regular
31549139,destination,PB-073,regular
31549139,highway,secondary,regular
31549139,oneway,yes,regular
31549139,source,GPS,regular
38263336,highway,residential,regular
38263336,lit,yes,regular
38263336,name,Rua Paulo França Marinho,regular
38263410,highway,residential,regular
38263410,lit,yes,regular
